S/N,ACTIVITIES DESCRIPTION (ITEM),DELEGATION NO. (QTY.), AMT NAIRA (ESTIMATED/UNIT PRICE),QTY.,"ADDITIONAL INFO.
(TOTAL COST)",REMARKS
(A.) HAEMATINICS ,,,,,,
96,Tab. Ciprofloxacin 500mg (Fidson) pk of 10,200 pcks.,"5,175",200,"₦1,035,000.00",
97,Tab. Erythromycin 500mg pk of 10,50 pcks.,"1,725",50,"₦86,250.00",
98,Cap. Doxycycline 100mg pk of 10,30 pcks.,"4,830",30,"₦144,900.00",
99,Tab. Amoxiclav 1g pk of 10,100 pcks.,"10,925",100,"₦1,092,500.00",
100,Tab. Amoxiclav 625mg pk 10,100 pcks.,"10,350",100,"₦1,035,000.00",
101,Tab. Azithromycin 500mg pk of 10,100 pcks.,"4,025",100,"₦402,500.00",
102,Tab Cefuroxime 500mg pk of 10,100 pcks.,"15,870",100,"₦1,587,000.00",
103,IV Ceftriaxone 1g ,50 vials,"1,725",50,"₦86,250.00",
104,IVF Ciprofloxacin 200mg ,30 vials,"1,495",30,"₦44,850.00",
105,IVF Metronidazole 500mg,50 vials,"1,265",50,"₦63,250.00",
106,Tab Secnidazole 500mg pk of 4,200 pcks.,"2,070",200,"₦414,000.00",
107,IV Levofloxacin 500mg,20 vials,"33,500",20,"₦670,000.00",
108,Tab Levofloxacin 500mg pk of 10,60 pcks.,"4,025",60,"₦241,500.00",
109,Tab Phenoxylmethylpenicillin 250mg pk of 28,25 pcks.,"5,175",25,"₦129,375.00",
110,Tab Sparfloxacin 200mg pk of 10,25 pcks.,"8,050",25,"₦201,250.00",
111,Tab Ofloxacin 400mg,40 pcks.,"2,875",40,"₦115,000.00",
112,Tab Ornilox (Ofloxacin/Ornidazole) pk of 10,20 pcks.,"6,325",20,"₦126,500.00",
113,IV Rocephin 1g,40 vials,"10,600",40,"₦424,000.00",
114,IV Zinnat 500mg,20 vials,"51,750",20,"₦1,035,000.00",
115,Tab Nitrofurantoin 100mg pk of 10,50 pcks.,"4,025",50,"₦201,250.00",
(J.) ANTI-HELMINTHICS,,,,,₦0.00,
116,Tab Albendazole 400mg,250 pcks.,288,250,"₦71,875.00",
117,Susp. Albendazole 400mg,50 bottles,460,50,"₦23,000.00",
118,Tab Ivermectin 3mg pk of 50,4 pcks.,"1,035",4,"₦4,140.00",
(K.) LAXATIVES,,,,,₦0.00,
119,Syr Liquid Paraffin 100mls,20 bttls,"2,875",20,"₦57,500.00",
120,Tab. Bisacodyl 5mg pk of 50,4 pcks.,"4,025",4,"₦16,100.00",
121,Tab Daflon 500mg pk of 10,20 pcks.,"9,200",20,"₦184,000.00",
122,Anusol suppositorie pk of 5,20 pcks.,"4,600",20,"₦92,000.00",
123,Susp. Lactulose 100mls,30 btls.,"6,325",30,"₦189,750.00",
(L.) ANTI-TUSSIVES,,,,,₦0.00,
124,Syr. NGC (Adult) 100mls,200 btls.,805,200,"₦161,000.00",
125,Syr. Emzolyn (Adult) 100mls,50 btls.,805,50,"₦40,250.00",
126,Tabs Dequadine Lozenges pk of 100,,0,0,₦0.00,
127,Syr. Piriton Expectorant 60mls,50 btls.,"2,070",50,"₦103,500.00",
128,Syr. Broncholyte 100mls,100 btls.,920,100,"₦92,000.00",
129,Syr. Tutolin (child) 50ml,20 btls.,863,20,"₦17,250.00",
130,Syr Ascorex (expectorant + salbutamol) 100mls,60 btls.,"1,265",60,"₦75,900.00",
131,Syr Cofrex 100mls,30 btls.,"1,725",30,"₦51,750.00",
132,Syr Rhinathiol,30 btls.,"4,600",30,"₦138,000.00",
133,Syr Rhinathiol (Paediatrics),20 btls.,"4,255",20,"₦85,100.00",
134,Tabs Flucor Day pk of 10,,0,0,₦0.00,
(M.) ANTI-ASTHMATICS,,,,,₦0.00,
135,Ventolin inhaler,20 vials,"12,650",20,"₦253,000.00",
136,Salbutamol nebules 5mg pk of 10,6 pack,"13,225",6,"₦79,350.00",
137,Seritide Inhaler,,0,0,₦0.00,
138,Tab Salbutamol x 1000,2 pcks.,"9,775",2,"₦19,550.00",
139,Budesonide nebules Pulmocort 0.5mcg pk of 10; ,6 pack,"65,370",6,"₦392,220.00",
(N.) ANTI-SPASMODICS,,,,,₦0.00,
140,Tab Buscopan 20mg pk of 100,20 pcks.,"2,875",20,"₦57,500.00",
141,Inj. Buscopan 20mg pk of 10 vials ,20 Pack,"4,025",20,"₦80,500.00",
142,Tab Domperidone 20mg pk of 30,6 pcks.,"12,075",6,"₦72,450.00",
(O.) ANTI-EMETICS & ANTI-CONVULSANTS,,,,,₦0.00,
143,Inj. Promethazine 50mg/2mL pk of 10,20 pcks.,"5,175",20,"₦103,500.00",
144,Inj Ondasetron 8mg pk of 5vials,10 pcks.,"3,890",10,"₦38,900.00",
145,Tab. Ondasetron 8mg pk of 10,25 pcks.,"2,680",25,"₦67,000.00",
146,Tab Carbamazepine (Tegretol SR) 200mg pk of 30,20  pcks.,"15,525",20,"₦310,500.00",
147,Tab Metoclopramide 10mg pk of 50,50 pcks.,"3,450",50,"₦172,500.00",
148,Inj Metoclopramide 10mg pk of 10 vials ,30 pcks.,"5,175",30,"₦155,250.00",
(P.) ANTI-HYPERTENSIVES,,,,,₦0.00,
149,Tab. Amlodipine 5mg (TEVA) pk of 28,200 pcks.,"3,335",200,"₦667,000.00",
150,Tab. Amlodipine 10mg (TEVA) pk of 28,250 pcks.,"4,600",250,"₦1,150,000.00",
151,Tab. Lisinopril 5mg (TEVA) pk of 28,100 pcks.,"2,875",100,"₦287,500.00",
152,Tab. Lisinopril 10mg (TEVA pk of 28,100 pcks.,"4,370",100,"₦437,000.00",
153,Tab. Losartan 50mg (TEVA) pk of 28,100 pcks.,"5,175",100,"₦517,500.00",
154,Tab. HCTZ 25mg pk of 28,100 pcks.,"4,370",100,"₦437,000.00",
155,IV Labetalol 50mg ,40 vials,"5,175",40,"₦207,000.00",
156,Tab Labetalol 100mg pk of 28,30 pcks.,"6,325",30,"₦189,750.00",
157,Tab Bisoprolol 2.5mg pk of 28,50 pcks.,"2,875",50,"₦143,750.00",
158,Tab Bisoprolol 5mg pk of 28,60 pcks.,"3,450",60,"₦207,000.00",
159,Tabs Propanolol 20mg pk of 28,50 pcks.,0,50,₦0.00,
160,Tab Moduretic pk of 28,200 pcks.,"4,370",200,"₦874,000.00",
161,Tab Vasoprin 75mg pk of 28,100 pcks.,575,100,"₦57,500.00",
162,Tab Clopidogrel 75mg pk of 28,100 pcks.,"4,600",100,"₦460,000.00",
163,Tab Valsartan 80mg pk of 28,60 pcks.,"9,200",60,"₦552,000.00",
164,Tabs Telmisartan POCCO 80mg pk of 28,40 pcks.,"2,450",40,"₦98,000.00",
165,Inj Hydralazine,2 pcks.,"10,925",2,"₦21,850.00",
166,Tab Indapamide 1.5mg,100 pcks.,"6,325",100,"₦632,500.00",
167,Tab Acetazolamide 250mg x 1000,2 pcks.,"12,650",2,"₦25,300.00",
(Q.) ANXIOLYTICS/ANT-DEPRESSANTS,,,,,₦0.00,
168,Tab. Amitryptylline 25mg x 1000,10 pcks.,"7,475",10,"₦74,750.00",
169,Tab. Bromazepam 3mg pk of 100,6  pcks.,"10,925",6,"₦65,550.00",
170,Tab. Bromazepam 1.5mg pk of 100,6 pcks.,"8,625",6,"₦51,750.00",
171,Inj Diazepam 5mg pk of 10 vials ,10 pcks.,"4,600",10,"₦46,000.00",
172,Diazepam suppositories 5mg pk of 5,5 pcks.,"6,900",5,"₦34,500.00",
173,IV Midazolam 3mg x pk of 10 vials ,4 pcks.,"33,350",4,"₦133,400.00",
(R.) VITAMINS/SUPPLEMENTS,,,,,₦0.00,
174,Tab. B-Complex x 1000,3 tins,"4,600",3,"₦13,800.00",
175,Syr. Vitamin C,100 btls.,920,100,"₦92,000.00",
176,Syr. Multivitamin,100 btls.,920,100,"₦92,000.00",
177,Tab Vitamin C 1000MG pk of 30,50 pcks.,"5,175",50,"₦258,750.00",
178,Tab Vitamin C 100MG,10 btls.,"6,670",10,"₦66,700.00",
179,Tab Glucose D 500g,10 pcks.,575,10,"₦5,750.00",
180,Tab Calcium lactate 300mg x 1000,5 btls.,"7,475",5,"₦37,375.00",
